"Policy","File","LastModified","LastCommit","CommitDate","CommitMsg"
"ai governance charter","docs/compliance/ai_governance_charter.md","2026-03-04 08:42:42","fb395751","2026-03-04 09:20:17 +0700","Add migration for pending model changes including new tables and patient columns"
"ai lifecycle documentation","docs/compliance/ai_lifecycle_documentation.md","2026-03-04 08:42:42","fb395751","2026-03-04 09:20:17 +0700","Add migration for pending model changes including new tables and patient columns"
"bcp drp","docs/compliance/bcp_drp.md","2026-03-04 08:42:42","fb395751","2026-03-04 09:20:17 +0700","Add migration for pending model changes including new tables and patient columns"
"breach notification sop","docs/compliance/breach_notification_sop.md","2026-03-04 08:42:42","fb395751","2026-03-04 09:20:17 +0700","Add migration for pending model changes including new tables and patient columns"
"compliance evaluation audit","docs/compliance/compliance_evaluation_audit.md","2026-03-04 08:42:43","fb395751","2026-03-04 09:20:17 +0700","Add migration for pending model changes including new tables and patient columns"
"compliance flows and procedures","docs/compliance/compliance_flows_and_procedures.md","2026-03-04 08:42:43","fb395751","2026-03-04 09:20:17 +0700","Add migration for pending model changes including new tables and patient columns"
"compliance implementation deployment","docs/compliance/compliance_implementation_deployment.md","2026-03-04 08:42:44","fb395751","2026-03-04 09:20:17 +0700","Add migration for pending model changes including new tables and patient columns"
"compliance master guide","docs/compliance/compliance_master_guide.md","2026-03-04 08:42:43","fb395751","2026-03-04 09:20:17 +0700","Add migration for pending model changes including new tables and patient columns"
"compliance standards mapping","docs/compliance/compliance_standards_mapping.md","2026-03-04 08:42:43","fb395751","2026-03-04 09:20:17 +0700","Add migration for pending model changes including new tables and patient columns"
"dpia","docs/compliance/dpia.md","2026-03-04 08:42:42","fb395751","2026-03-04 09:20:17 +0700","Add migration for pending model changes including new tables and patient columns"
"dpo charter","docs/compliance/dpo_charter.md","2026-03-04 08:42:43","fb395751","2026-03-04 09:20:17 +0700","Add migration for pending model changes including new tables and patient columns"
"gdpr readiness assessment","docs/compliance/gdpr_readiness_assessment.md","2026-03-04 08:42:42","fb395751","2026-03-04 09:20:17 +0700","Add migration for pending model changes including new tables and patient columns"
"hipaa self assessment","docs/compliance/hipaa_self_assessment.md","2026-03-04 08:42:42","fb395751","2026-03-04 09:20:17 +0700","Add migration for pending model changes including new tables and patient columns"
"hitrust self assessment","docs/compliance/hitrust_self_assessment.md","2026-03-04 08:42:42","fb395751","2026-03-04 09:20:17 +0700","Add migration for pending model changes including new tables and patient columns"
"information security policy","docs/compliance/information_security_policy.md","2026-03-04 08:42:42","fb395751","2026-03-04 09:20:17 +0700","Add migration for pending model changes including new tables and patient columns"
"internal audit report","docs/compliance/internal_audit_report.md","2026-03-04 08:42:43","fb395751","2026-03-04 09:20:17 +0700","Add migration for pending model changes including new tables and patient columns"
"iso27001 certification prep","docs/compliance/iso27001_certification_prep.md","2026-03-04 08:42:42","fb395751","2026-03-04 09:20:17 +0700","Add migration for pending model changes including new tables and patient columns"
"nist ai rmf maturity","docs/compliance/nist_ai_rmf_maturity.md","2026-03-04 08:42:42","fb395751","2026-03-04 09:20:17 +0700","Add migration for pending model changes including new tables and patient columns"
"ongoing operations manual","docs/compliance/ongoing_operations_manual.md","2026-03-04 08:42:43","fb395751","2026-03-04 09:20:17 +0700","Add migration for pending model changes including new tables and patient columns"
"penetration test report template","docs/compliance/penetration_test_report_template.md","2026-03-04 08:42:42","fb395751","2026-03-04 09:20:17 +0700","Add migration for pending model changes including new tables and patient columns"
"phase3 final report","docs/compliance/phase3_final_report.md","2026-03-04 08:42:43","fb395751","2026-03-04 09:20:17 +0700","Add migration for pending model changes including new tables and patient columns"
"phase4 final report","docs/compliance/phase4_final_report.md","2026-03-04 08:42:43","fb395751","2026-03-04 09:20:17 +0700","Add migration for pending model changes including new tables and patient columns"
"privacy notice","docs/compliance/privacy_notice.md","2026-03-04 08:42:43","fb395751","2026-03-04 09:20:17 +0700","Add migration for pending model changes including new tables and patient columns"
"pseudonymization procedures","docs/compliance/pseudonymization_procedures.md","2026-03-04 08:42:43","fb395751","2026-03-04 09:20:17 +0700","Add migration for pending model changes including new tables and patient columns"
"risk assessment","docs/compliance/risk_assessment.md","2026-03-04 08:42:42","fb395751","2026-03-04 09:20:17 +0700","Add migration for pending model changes including new tables and patient columns"
"ropa register","docs/compliance/ropa_register.md","2026-03-04 08:42:42","fb395751","2026-03-04 09:20:17 +0700","Add migration for pending model changes including new tables and patient columns"
"soc2 readiness","docs/compliance/soc2_readiness.md","2026-03-04 08:42:42","fb395751","2026-03-04 09:20:17 +0700","Add migration for pending model changes including new tables and patient columns"
"standard contractual clauses","docs/compliance/standard_contractual_clauses.md","2026-03-04 08:42:42","fb395751","2026-03-04 09:20:17 +0700","Add migration for pending model changes including new tables and patient columns"
"vanta integration guide","docs/compliance/vanta_integration_guide.md","2026-03-04 08:42:44","fb395751","2026-03-04 09:20:17 +0700","Add migration for pending model changes including new tables and patient columns"
"vendor risk assessment","docs/compliance/vendor_risk_assessment.md","2026-03-04 08:42:42","fb395751","2026-03-04 09:20:17 +0700","Add migration for pending model changes including new tables and patient columns"
